flow #0: size: 5, rem_Size: 0, arrived: 367, src\dst:[0,0], FCT: 3815
flow #1: size: 13, rem_Size: 0, arrived: 2966, src\dst:[0,1], FCT: 1428
flow #2: size: 6, rem_Size: 0, arrived: 342, src\dst:[0,3], FCT: 4010
flow #3: size: 14, rem_Size: 0, arrived: 324, src\dst:[0,4], FCT: 3708
flow #4: size: 71, rem_Size: 0, arrived: 1724, src\dst:[0,5], FCT: 2024
flow #5: size: 9, rem_Size: 0, arrived: 85, src\dst:[0,8], FCT: 3993
flow #6: size: 13, rem_Size: 0, arrived: 423, src\dst:[0,9], FCT: 4005
flow #7: size: 177, rem_Size: 0, arrived: 1908, src\dst:[0,10], FCT: 2390
flow #8: size: 26, rem_Size: 0, arrived: 1385, src\dst:[0,11], FCT: 2547
flow #9: size: 9, rem_Size: 0, arrived: 2073, src\dst:[0,12], FCT: 2080
flow #10: size: 2, rem_Size: 0, arrived: 68, src\dst:[0,14], FCT: 4181
flow #11: size: 33, rem_Size: 0, arrived: 1267, src\dst:[1,0], FCT: 2730
flow #12: size: 8, rem_Size: 0, arrived: 2178, src\dst:[1,1], FCT: 2077
flow #13: size: 22, rem_Size: 0, arrived: 2430, src\dst:[1,2], FCT: 1498
flow #14: size: 68, rem_Size: 0, arrived: 442, src\dst:[1,3], FCT: 3418
flow #15: size: 15, rem_Size: 0, arrived: 1555, src\dst:[1,4], FCT: 2806
flow #16: size: 16, rem_Size: 0, arrived: 628, src\dst:[1,5], FCT: 3671
flow #17: size: 4, rem_Size: 0, arrived: 393, src\dst:[1,6], FCT: 3788
flow #18: size: 9, rem_Size: 0, arrived: 2337, src\dst:[1,7], FCT: 1741
flow #19: size: 8, rem_Size: 0, arrived: 2674, src\dst:[1,8], FCT: 1546
flow #20: size: 57, rem_Size: 0, arrived: 1918, src\dst:[1,12], FCT: 1816
flow #21: size: 17, rem_Size: 0, arrived: 2815, src\dst:[1,13], FCT: 1220
flow #22: size: 7, rem_Size: 0, arrived: 2377, src\dst:[1,14], FCT: 1774
flow #23: size: 14, rem_Size: 0, arrived: 2714, src\dst:[1,15], FCT: 1405
flow #24: size: 34, rem_Size: 0, arrived: 2075, src\dst:[2,0], FCT: 1865
flow #25: size: 7, rem_Size: 0, arrived: 1823, src\dst:[2,1], FCT: 2328
flow #26: size: 7, rem_Size: 0, arrived: 796, src\dst:[2,2], FCT: 3316
flow #27: size: 44, rem_Size: 0, arrived: 1017, src\dst:[2,5], FCT: 2819
flow #28: size: 7, rem_Size: 0, arrived: 2603, src\dst:[2,6], FCT: 1473
flow #29: size: 85, rem_Size: 0, arrived: 2941, src\dst:[2,7], FCT: 821
flow #30: size: 4, rem_Size: 0, arrived: 1813, src\dst:[2,8], FCT: 2368
flow #31: size: 1, rem_Size: 0, arrived: 313, src\dst:[2,9], FCT: 3971
flow #32: size: 2, rem_Size: 0, arrived: 263, src\dst:[2,10], FCT: 3986
flow #33: size: 3, rem_Size: 0, arrived: 446, src\dst:[2,12], FCT: 3769
flow #34: size: 18, rem_Size: 0, arrived: 2087, src\dst:[2,14], FCT: 1895
flow #35: size: 20, rem_Size: 0, arrived: 2223, src\dst:[2,15], FCT: 1815
flow #36: size: 14, rem_Size: 0, arrived: 1971, src\dst:[3,0], FCT: 2061
flow #37: size: 4, rem_Size: 0, arrived: 355, src\dst:[3,1], FCT: 3826
flow #38: size: 6, rem_Size: 0, arrived: 1809, src\dst:[3,5], FCT: 2341
flow #39: size: 46, rem_Size: 0, arrived: 953, src\dst:[3,6], FCT: 3164
flow #40: size: 2, rem_Size: 0, arrived: 1577, src\dst:[3,7], FCT: 2637
flow #41: size: 34, rem_Size: 0, arrived: 1496, src\dst:[3,9], FCT: 2444
flow #42: size: 8, rem_Size: 0, arrived: 2579, src\dst:[3,12], FCT: 1498
flow #43: size: 81, rem_Size: 0, arrived: 2327, src\dst:[3,14], FCT: 1431
flow #44: size: 42, rem_Size: 0, arrived: 1385, src\dst:[3,15], FCT: 2449
flow #45: size: 36, rem_Size: 0, arrived: 746, src\dst:[4,0], FCT: 3573
