flow #0: size: 13, rem_Size: 0, arrived: 2003, src\dst:[0,1], FCT: 2409
flow #1: size: 14, rem_Size: 0, arrived: 1375, src\dst:[0,3], FCT: 2984
flow #2: size: 15, rem_Size: 0, arrived: 2338, src\dst:[0,7], FCT: 3056
flow #3: size: 78, rem_Size: 0, arrived: 309, src\dst:[0,9], FCT: 5338
flow #4: size: 9, rem_Size: 0, arrived: 2445, src\dst:[0,11], FCT: 3160
flow #5: size: 26, rem_Size: 0, arrived: 1070, src\dst:[0,12], FCT: 4214
flow #6: size: 9, rem_Size: 0, arrived: 2128, src\dst:[0,13], FCT: 2689
flow #7: size: 7, rem_Size: 0, arrived: 1822, src\dst:[0,18], FCT: 3846
flow #8: size: 30, rem_Size: 0, arrived: 2019, src\dst:[0,21], FCT: 3460
flow #9: size: 6, rem_Size: 0, arrived: 1792, src\dst:[0,22], FCT: 3580
flow #10: size: 21, rem_Size: 0, arrived: 2377, src\dst:[0,24], FCT: 3060
flow #11: size: 14, rem_Size: 0, arrived: 1411, src\dst:[0,27], FCT: 3917
flow #12: size: 91, rem_Size: 0, arrived: 1996, src\dst:[0,30], FCT: 3310
flow #13: size: 26, rem_Size: 0, arrived: 54, src\dst:[1,1], FCT: 5614
flow #14: size: 168, rem_Size: 0, arrived: 1314, src\dst:[1,2], FCT: 3262
flow #15: size: 7, rem_Size: 0, arrived: 2287, src\dst:[1,5], FCT: 3150
flow #16: size: 16, rem_Size: 0, arrived: 1205, src\dst:[1,13], FCT: 3443
flow #17: size: 51, rem_Size: 0, arrived: 1063, src\dst:[1,15], FCT: 4265
flow #18: size: 78, rem_Size: 0, arrived: 2005, src\dst:[1,17], FCT: 3495
flow #19: size: 5, rem_Size: 0, arrived: 2358, src\dst:[1,23], FCT: 3121
flow #20: size: 15, rem_Size: 0, arrived: 2726, src\dst:[1,28], FCT: 2732
flow #21: size: 10, rem_Size: 0, arrived: 582, src\dst:[1,31], FCT: 4702
flow #22: size: 2, rem_Size: 0, arrived: 663, src\dst:[2,2], FCT: 3827
flow #23: size: 12, rem_Size: 0, arrived: 2986, src\dst:[2,3], FCT: 1313
flow #24: size: 2, rem_Size: 0, arrived: 555, src\dst:[2,7], FCT: 4199
flow #25: size: 86, rem_Size: 0, arrived: 2489, src\dst:[2,8], FCT: 3158
flow #26: size: 3, rem_Size: 0, arrived: 2974, src\dst:[2,10], FCT: 2631
flow #27: size: 48, rem_Size: 0, arrived: 2481, src\dst:[2,16], FCT: 2935
flow #28: size: 1, rem_Size: 0, arrived: 2578, src\dst:[2,18], FCT: 2901
flow #29: size: 29, rem_Size: 0, arrived: 2101, src\dst:[2,21], FCT: 3483
flow #30: size: 17, rem_Size: 0, arrived: 2198, src\dst:[2,23], FCT: 3302
flow #31: size: 1, rem_Size: 0, arrived: 2682, src\dst:[2,24], FCT: 2776
flow #32: size: 85, rem_Size: 0, arrived: 2391, src\dst:[2,26], FCT: 2805
flow #33: size: 90, rem_Size: 0, arrived: 2233, src\dst:[2,31], FCT: 3204
flow #34: size: 2, rem_Size: 0, arrived: 2400, src\dst:[3,3], FCT: 2972
flow #35: size: 81, rem_Size: 0, arrived: 1535, src\dst:[3,5], FCT: 3274
